GJNC|160.8,-58.5,0,0,0|24.3,38.2,0,38.2,32.6
GALK|19.3,14.3,10.9,15.9,14.5|10.1,29.1,28.7,24.9,-5.7
GJFU|14.2,4.9,7.0,20.7,6.6|33.1,24.0,26.0,14.2,27.3
GFOI|0,0,0,0,0|58.1,26.1,28.5,52.7,251.5
GGAS|58.9,59.7,103.2,31.3,27.6|32.3,32.4,30.1,29.5,31.6
GSFC|7.4,7.9,15.4,23.3,21.9|32.6,31.0,32.5,30.9,30.2
GFCL|-69.7,35.9,45.2,43.4,36.6|0,23.6,29.7,31.9,21.8
GVKP|0,0,0,0,0|101.6,-46.3,-52.5,8.5,-2.1
HTTL|4.2,4.7,0,0,0|6.2,5.8,24.2,26.7,50.6
HCDL|0,0,0,0,0|-126.8,28.3,-13.3,-14.1,-40.4
HAVL|21.9,16.1,41.9,48.6,31.0|22.2,17.5,24.9,32.3,16.0
HAWK|70.3,77.6,82.9,74.1,78.7|32.5,31.9,32.9,32.1,30.9
HCLI|106.0,92.8,0,0,0|26.2,17.1,35.1,-14.3,-5.5
HTECH|8.4,11.4,10.3,10.8,57.6|22.9,24.4,23.3,17.8,19.9
HDFC|29.7,29.1,27.5,27.0,26.4|0,0,0,0,0
HDBK|19.2,19.1,18.8,18.8,18.8|0,0,0,0,0
HEGL|35.3,34.9,31.8,29.7,32.9|24.8,4.2,8.9,8.6,8.0
MYCM|0,0,0,0,0|34.0,31.1,45.7,46.8,50.3
HEMAT|18.1,16.0,17.7,15.0,26.4|29.9,23.1,27.4,21.5,26.2
HERH|18.1,19.6,24.3,38.0,36.1|29.8,30.4,29.7,28.2,20.4
HRFO|25.1,7.0,15.4,24.5,12.6|31.6,20.6,25.8,27.8,35.5
HROH|37.8,56.6,61.7,50.7,46.5|17.0,16.3,26.5,28.7,29.3
APTE|43.9,48.9,87.8,88.8,66.3|13.2,18.9,20.9,23.1,22.1
HYDI|23.6,22.8,24.6,52.3,22.3|31.7,30.7,33.6,20.5,26.3
HFCM|0,0,0,0,0|0,-0.2,0.3,1.6,0
HMTS|20.9,0,14.9,17.2,23.3|9.8,-12.9,27.6,-2.4,13.2
HNGL|8.5,22.3,30.2,-0.5,0|16.7,28.5,7.2,28.3,11.6
HCNS|0,0,0,0,0|27.1,14.1,4.0,-14.4,-9.8
HLL|58.1,104.5,71.3,74.4,84.8|23.6,27.9,25.3,34.5,31.0
HOEX|0,8.0,0,0,0|36.0,31.9,25.8,184.1,9.1
HALC|8.7,8.9,9.5,24.2,461.0|18.1,22.7,17.2,11.2,76.7
HDFN|29.7,30.7,38.4,0,169.0|20.2,27.7,24.3,42.3,-75.7
HNCP|28.6,26.0,32.3,20.5,0|31.6,11.9,34.1,15.7,4.0
HMVL|13.7,13.5,10.4,7.9,6.3|29.6,28.8,25.9,28.0,25.1
HNMT|0,0,0,0,0|5.7,2.5,5.3,-2.3,0
HZNC|18.4,19.0,21.4,22.7,143.8|20.2,11.6,13.4,14.5,5.1
AMHC|11.7,105.6,22.5,50.6,5.2|26.6,-16.8,25.9,28.9,23.0
HMT|0,0,0,0,0|-0.4,0,-0.1,-0.5,-3.4
SHHO|25.6,17.7,19.7,21.6,15.8|33.3,40.2,34.1,26.6,36.6
TTHW|8.4,8.3,10.4,10.3,9.7|24.4,26.5,28.6,29.8,35.6
